text,area,seniority,experience_years
Estudiante de Ingeniería en Sistemas con proyectos backend desarrollados en Node.js y Express. Experiencia básica con APIs REST y bases de datos PostgreSQL.,Backend,Junior,1
"Junior backend developer learning Node.js, Express and MongoDB. Built small REST APIs for academic projects.",Backend,Junior,1
"Recién graduado de Informática. Proyectos universitarios con Python, Flask y SQLite. Ganas de aprender y crecer en backend.",Backend,Junior,0
"Trainee backend con conocimientos en Java, Spring Boot básico y MySQL. Trabajo en equipo, metodologías ágiles.",Backend,Junior,1
"Computer science student with projects in Python, Django and PostgreSQL. Experience with JWT authentication and REST API design.",Backend,Junior,1
Egresado de Sistemas. Desarrollo de una API REST con Node.js y Express para gestión de usuarios. Base de datos MySQL.,Backend,Junior,1
"Pasante en empresa de software. Tareas de mantenimiento backend en PHP Laravel. Consultas SQL, migraciones y debugging.",Backend,Junior,1
Junior Python developer with experience in FastAPI and SQLAlchemy. Built REST endpoints for a small e-commerce project.,Backend,Junior,1
"Desarrollador junior Node.js. Integración de APIs externas, manejo de autenticación JWT, despliegue básico en Linux.",Backend,Junior,2
"Backend trainee working with Ruby on Rails. Created CRUD endpoints, wrote unit tests and managed PostgreSQL migrations.",Backend,Junior,1
"Estudiante avanzado de TI con proyecto final en Django REST Framework. Autenticación con JWT, documentación con Swagger.",Backend,Junior,1
"Primer empleo en startup. Mantenimiento de microservicio en Node.js, resolución de bugs, revisión de PRs, integración con Redis.",Backend,Junior,1
"Junior backend engineer. Experience with Express.js, REST APIs, Postgres, Git. Eager to grow in scalable systems architecture.",Backend,Junior,2
"Practicante en empresa de desarrollo web. Trabajo con PHP, Laravel y MySQL. Integración con APIs de pagos.",Backend,Junior,1
Self-taught backend developer. Created REST APIs using Node.js and MongoDB. Deployed on Linux VPS with Nginx.,Backend,Junior,1
"Backend developer with 4 years of experience building REST APIs using Node.js, Express and PostgreSQL. Worked with JWT and OAuth authentication systems.",Backend,Mid,4
"Desarrollador backend con experiencia en Python, FastAPI y PostgreSQL. Diseño de microservicios, integración con Redis y despliegue con Docker.",Backend,Mid,5
"PHP Laravel developer with 3 years building web applications. REST APIs, MySQL, Redis caching, and unit testing with PHPUnit.",Backend,Mid,3
"Backend engineer using Java Spring Boot. Desarrollé servicios REST, integraciones con Kafka y despliegue en contenedores Docker.",Backend,Mid,4
"Node.js backend developer. 4 years building scalable APIs, working with MongoDB, Redis and AWS Lambda serverless functions.",Backend,Mid,4
"Desarrollador Python mid-level. Trabajo con Django REST Framework, Celery para tareas asíncronas y PostgreSQL. Experiencia en startups.",Backend,Mid,4
"Backend developer. 3 years with Go (Golang), building high-performance REST services. PostgreSQL, Docker, GitHub Actions CI/CD.",Backend,Mid,3
"Ingeniero backend con foco en APIs REST usando Node.js y Express. Trabajo con bases de datos relacionales y no relacionales, autenticación OAuth2.",Backend,Mid,5
"Mid backend engineer. Spring Boot microservices, Kafka messaging, Docker, PostgreSQL. Agile teams, code reviews, CI/CD pipelines.",Backend,Mid,4
"Python backend developer with Django and FastAPI. Built payment integration APIs, async task queues with Celery, monitoring with Datadog.",Backend,Mid,5
"Desarrollador backend Node.js. Diseño e implementación de APIs RESTful, integración con sistemas de pagos, optimización de queries PostgreSQL.",Backend,Mid,4
"Ruby on Rails developer. 4 years building SaaS backends. PostgreSQL, Redis, Sidekiq, API design, testing with RSpec.",Backend,Mid,4
"Desarrollador mid-level PHP. Laravel, MySQL, Redis, APIs REST. Trabaje en proyectos de e-commerce con altas cargas de usuarios.",Backend,Mid,5
"Backend engineer focused on Node.js and TypeScript. 3 years building modular REST APIs, integrating third-party services and writing integration tests.",Backend,Mid,3
"Desarrollador Java backend con 5 años de experiencia. Spring Boot, microservicios, Oracle DB, Apache Kafka, Docker Compose.",Backend,Mid,5
"Senior backend engineer with 9 years of experience designing distributed systems using Java Spring Boot, Kafka, PostgreSQL and Kubernetes.",Backend,Senior,9
"Arquitecto backend senior. Diseño de microservicios con Node.js, event-driven architecture con Kafka, liderazgo técnico de equipos de 5+ developers.",Backend,Senior,10
"Senior Python engineer. Built and maintained high-traffic Django APIs serving 10M+ requests/day. PostgreSQL optimization, Redis, Elasticsearch.",Backend,Senior,8
"Lead backend developer con 10 años de experiencia. Node.js, Go, PostgreSQL, Kafka. Mentor de equipos junior y mid. Arquitectura de sistemas escalables.",Backend,Senior,10
"Senior Java architect. Designed microservices with Spring Boot, Spring Cloud, Kubernetes and AWS EKS. Team of 12 engineers.",Backend,Senior,12
"Backend tech lead. 8 años construyendo plataformas SaaS con Node.js, Python, arquitecturas hexagonales y DDD. Liderazgo técnico y revisiones de código.",Backend,Senior,8
"Senior backend engineer specializing in Go microservices. gRPC, Kafka, PostgreSQL, Redis. Built payment processing platform handling $1B+ monthly transactions.",Backend,Senior,9
"Desarrollador senior backend con experiencia en Python, FastAPI y arquitectura de microservicios. Liderazgo técnico, mentoring y optimización de sistemas de alto tráfico.",Backend,Senior,8
